City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
60,Gampaha,LK,82.33,scattered clouds,7.0897,79.9925,Wet Water Resort
62,Katsuura,JP,81.1,scattered clouds,35.1333,140.3,Splash Guest House
63,Waingapu,ID,71.44,clear sky,-9.6567,120.2641,Padadita Beach Hotel
64,Butaritari,KI,83.39,light rain,3.0707,172.7902,Isles Sunset Lodge
71,San Ramon,US,78.82,clear sky,37.7799,-121.978,Hyatt House San Ramon
73,Ntungamo,UG,72.66,scattered clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
75,Puerto Leguizamo,CO,84.34,overcast clouds,-0.1934,-74.7819,la casona de juancho
81,Asau,RO,74.32,overcast clouds,46.4333,26.4,Pensiunea Sophia
82,Muros,ES,70.09,clear sky,42.7762,-9.0603,Hostal SOLYMAR
85,Georgetown,MY,84.88,few clouds,5.4112,100.3354,"Eastern & Oriental Hotel, Penang"
86,Penzance,GB,70.81,light rain,50.1186,-5.5371,The Old Coastguard
92,Lompoc,US,82.13,few clouds,34.6391,-120.4579,Surestay Plus Hotel By Best Western Lompoc
93,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,BELO CAMPO
97,Winneba,GH,77.54,broken clouds,5.3511,-0.6231,Lord's Hands Guesthouse Hotel
107,Broome,US,78.01,scattered clouds,42.2506,-75.833,Chenango Valley State Park
115,Escanaba,US,79.05,broken clouds,45.7453,-87.0646,House of Ludington
116,Gwadar,PK,83.17,overcast clouds,25.1216,62.3254,Zaver Pearl Continental Hotel
117,Kadiri,IN,74.93,overcast clouds,14.1167,78.1667,SRI TAYI GRAND
118,Komsomolskiy,UZ,86.72,scattered clouds,40.4272,71.7189,TANTANA HOTEL FERGANA
121,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Manea on Muri
122,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,"Senhora da Rosa, Tradition & Nature Hotel"
123,Samarai,PG,79.68,broken clouds,-10.6167,150.6667,Nuli Sapi
126,Itarema,BR,86.65,clear sky,-2.9248,-39.9167,7 Beaufort Brasil
128,Mabaruma,GY,84.49,overcast clouds,8.2,-59.7833,Small's Enterprise
131,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Glory island okinawa Yabusachi Resort
132,Arraial Do Cabo,BR,70.11,clear sky,-22.9661,-42.0278,Orlanova Boutique Hotel
133,Porto Santo,PT,76.91,scattered clouds,33.072,-16.3415,Pestana Porto Santo
136,Vanimo,PG,77.41,moderate rain,-2.6741,141.3028,Sandaun Surf Hotel
138,Ternate,ID,81.88,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
145,Benguela,AO,72.82,broken clouds,-12.5763,13.4055,Aparthotel Mil Cidades
146,Pimentel,PE,72.0,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
154,Caraguatay,AR,83.08,clear sky,-26.6059,-54.7809,Apart Hotel Terrazas del Parana
160,Thompson,CA,75.52,scattered clouds,55.7435,-97.8558,Best Western Thompson Hotel & Suites
162,Sarangani,PH,83.98,overcast clouds,5.4033,125.4636,Ballistic Islet
163,Kalmar,SE,73.33,few clouds,56.6616,16.3616,"Stekhuset, Kom Snart Igen AB"
164,Prince Albert,CA,76.55,clear sky,53.2001,-105.7677,Ramada by Wyndham Prince Albert
167,Hami,CN,87.62,overcast clouds,42.8,93.45,7 Days Premium
170,Wuwei,CN,78.6,clear sky,37.9281,102.6414,Jianlong Grand Hotel
175,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Banana Bungalow Maui Hostel
176,Panzhihua,CN,72.23,moderate rain,26.5851,101.7128,Jinhai New Century Grand Hotel
179,Essex,US,83.73,scattered clouds,40.7834,-74.2163,The Wilshire Grand Hotel
181,Oussouye,SN,83.8,scattered clouds,12.485,-16.5469,Campement ALULUM
182,Mogadishu,SO,76.59,scattered clouds,2.0371,45.3438,Dolphin Hotel
183,Yatou,CN,73.74,clear sky,37.15,122.3833,Jinyue International Hotel
187,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Flip Flops Beach Shack
190,Ko Samui,TH,84.13,overcast clouds,9.5357,99.9357,Four Seasons Resort
193,Porto Novo,BJ,79.84,broken clouds,6.4965,2.6036,Rédidence OUADADA
195,Digha,IN,83.57,overcast clouds,21.6833,87.55,Hotel Nest Shankarpur
201,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Kactus
203,Hendek,TR,71.92,broken clouds,40.7994,30.7481,Ramada by Wyndham Sakarya Hendek
205,Baturaja,ID,72.61,broken clouds,-4.1333,104.1667,Hotel Bukit Indah Lestari
207,Bengkulu,ID,76.19,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
208,Port Moresby,PG,74.23,broken clouds,-9.4431,147.1797,Hotel Hideaway
211,Sorong,ID,78.42,light rain,-0.8833,131.25,Vega Hotel Sorong
213,Lasa,IT,78.71,scattered clouds,46.6166,10.7002,Gasthof Hotel Sonne Silandro
215,Maua,BR,76.06,clear sky,-23.6678,-46.4614,Hilton Garden Inn Santo André
219,Madras,IN,85.98,scattered clouds,13.0878,80.2785,KTDC Rain Drops
